,SEM_PRI,0,1,2,3,4,CASES
252,201144,242.0,0.0,0.0,0.0,0.0,242.0
253,201145,310.0,0.0,0.0,0.0,0.0,310.0
254,201146,293.0,1.0,0.0,0.0,0.0,294.0
255,201147,478.0,1.0,0.0,0.0,0.0,479.0
256,201148,467.0,1.0,0.0,0.0,0.0,468.0
257,201149,601.0,5.0,0.0,0.0,0.0,606.0
258,201150,710.0,5.0,0.0,0.0,0.0,715.0
259,201151,523.0,2.0,0.0,0.0,0.0,525.0
260,201152,492.0,3.0,0.0,0.0,3.0,498.0
261,201201,432.0,1.0,0.0,0.0,1.0,434.0
262,201202,309.0,3.0,0.0,0.0,4.0,316.0
263,201203,292.0,3.0,0.0,0.0,8.0,303.0
264,201204,290.0,2.0,0.0,0.0,12.0,304.0
265,201205,311.0,3.0,0.0,0.0,11.0,325.0
266,201206,344.0,7.0,0.0,0.0,23.0,374.0
267,201207,399.0,2.0,0.0,1.0,33.0,435.0
268,201208,523.0,3.0,0.0,0.0,21.0,547.0
269,201209,716.0,1.0,0.0,0.0,36.0,753.0
270,201210,952.0,2.0,0.0,0.0,36.0,990.0
271,201211,1182.0,1.0,0.0,0.0,36.0,1219.0
272,201212,1720.0,2.0,0.0,0.0,30.0,1752.0
273,201213,2249.0,0.0,0.0,0.0,10.0,2259.0
274,201214,2421.0,0.0,0.0,0.0,19.0,2440.0
275,201215,2999.0,0.0,0.0,0.0,14.0,3013.0
276,201216,3799.0,0.0,0.0,0.0,16.0,3815.0
277,201217,3857.0,0.0,0.0,0.0,16.0,3873.0
278,201218,2954.0,0.0,0.0,0.0,10.0,2964.0
279,201219,2639.0,0.0,0.0,1.0,13.0,2653.0
280,201220,1970.0,0.0,0.0,0.0,7.0,1977.0
281,201221,1698.0,0.0,0.0,0.0,6.0,1704.0
282,201222,1130.0,0.0,0.0,0.0,7.0,1137.0
283,201223,790.0,2.0,0.0,0.0,2.0,794.0
284,201224,588.0,0.0,0.0,0.0,2.0,590.0
285,201225,420.0,0.0,0.0,0.0,1.0,421.0
286,201226,262.0,0.0,0.0,0.0,1.0,263.0
287,201227,200.0,0.0,0.0,0.0,3.0,203.0
288,201228,102.0,0.0,0.0,0.0,0.0,102.0
289,201229,83.0,0.0,0.0,0.0,0.0,83.0
290,201230,59.0,0.0,0.0,0.0,0.0,59.0
291,201231,96.0,0.0,0.0,0.0,1.0,97.0
292,201232,77.0,0.0,0.0,0.0,1.0,78.0
293,201233,77.0,0.0,0.0,0.0,1.0,78.0
294,201234,77.0,0.0,0.0,0.0,0.0,77.0
295,201235,37.0,0.0,0.0,0.0,2.0,39.0
296,201236,27.0,0.0,0.0,0.0,0.0,27.0
297,201237,49.0,0.0,0.0,0.0,0.0,49.0
298,201238,48.0,0.0,0.0,0.0,0.0,48.0
299,201239,28.0,0.0,0.0,0.0,0.0,28.0
300,201240,38.0,0.0,0.0,0.0,2.0,40.0
301,201241,35.0,0.0,0.0,0.0,1.0,36.0
302,201242,38.0,0.0,0.0,0.0,0.0,38.0
303,201243,36.0,0.0,0.0,0.0,1.0,37.0
304,201244,39.0,0.0,0.0,1.0,0.0,40.0
305,201245,32.0,0.0,0.0,0.0,0.0,32.0
306,201246,18.0,0.0,0.0,0.0,0.0,18.0
307,201247,33.0,0.0,0.0,0.0,0.0,33.0
308,201248,46.0,1.0,0.0,0.0,0.0,47.0
309,201249,50.0,0.0,0.0,0.0,0.0,50.0
310,201250,83.0,0.0,0.0,1.0,6.0,90.0
311,201251,56.0,0.0,0.0,0.0,1.0,57.0
312,201252,81.0,2.0,0.0,0.0,3.0,86.0
313,201301,155.0,0.0,0.0,0.0,0.0,155.0
314,201302,230.0,0.0,0.0,0.0,5.0,235.0
315,201303,226.0,1.0,0.0,0.0,0.0,227.0
316,201304,275.0,0.0,0.0,0.0,5.0,280.0
317,201305,345.0,0.0,0.0,0.0,0.0,345.0
318,201306,293.0,0.0,0.0,0.0,3.0,296.0
319,201307,473.0,0.0,0.0,0.0,11.0,484.0
320,201308,837.0,0.0,0.0,0.0,16.0,853.0
321,201309,1438.0,1.0,0.0,0.0,23.0,1462.0
322,201310,2082.0,0.0,0.0,0.0,11.0,2093.0
323,201311,2793.0,0.0,0.0,0.0,11.0,2804.0
324,201312,2869.0,0.0,0.0,1.0,19.0,2889.0
325,201313,2511.0,1.0,0.0,0.0,11.0,2523.0
326,201314,2723.0,0.0,0.0,2.0,20.0,2745.0
327,201315,2564.0,1.0,0.0,0.0,15.0,2580.0
328,201316,2677.0,0.0,0.0,0.0,5.0,2682.0
329,201317,1912.0,1.0,0.0,1.0,8.0,1922.0
330,201318,895.0,0.0,0.0,0.0,7.0,902.0
331,201319,534.0,0.0,0.0,1.0,6.0,541.0
332,201320,397.0,0.0,0.0,0.0,4.0,401.0
333,201321,285.0,0.0,0.0,0.0,1.0,286.0
334,201322,159.0,0.0,0.0,0.0,5.0,164.0
335,201323,113.0,0.0,0.0,0.0,2.0,115.0
336,201324,112.0,0.0,0.0,0.0,2.0,114.0
337,201325,109.0,0.0,0.0,0.0,0.0,109.0
338,201326,73.0,0.0,0.0,0.0,1.0,74.0
339,201327,53.0,0.0,0.0,0.0,0.0,53.0
340,201328,40.0,0.0,0.0,0.0,0.0,40.0
341,201329,41.0,0.0,0.0,0.0,0.0,41.0
342,201330,16.0,0.0,0.0,0.0,0.0,16.0
343,201331,22.0,0.0,0.0,0.0,0.0,22.0
344,201332,19.0,0.0,0.0,0.0,0.0,19.0
345,201333,10.0,0.0,0.0,0.0,0.0,10.0
346,201334,14.0,0.0,0.0,0.0,0.0,14.0
347,201335,5.0,0.0,0.0,0.0,1.0,6.0
348,201336,9.0,0.0,0.0,0.0,0.0,9.0
349,201337,16.0,0.0,0.0,0.0,0.0,16.0
350,201338,4.0,0.0,0.0,0.0,0.0,4.0
351,201339,14.0,0.0,0.0,0.0,0.0,14.0
352,201340,10.0,0.0,0.0,0.0,0.0,10.0
353,201341,6.0,0.0,0.0,0.0,0.0,6.0
354,201342,12.0,0.0,0.0,0.0,0.0,12.0
355,201343,10.0,0.0,0.0,0.0,0.0,10.0
356,201344,15.0,0.0,0.0,0.0,0.0,15.0
357,201345,9.0,0.0,0.0,0.0,0.0,9.0
358,201346,8.0,0.0,0.0,0.0,0.0,8.0
359,201347,13.0,0.0,0.0,0.0,0.0,13.0
360,201348,17.0,0.0,0.0,0.0,0.0,17.0
